Pāli1	Fin	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Pali chant 2	English chant 2	Chapter 2	Source 3	Sutta 3	Example 3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	Feedback
sela 1	p	adj		silā					rocky; stony					silā > selā + *a	śilā					DHP 8	yamakavaggo	asubh'ānupassiṃ viharantaṃ, indriyesu susaṃvutaṃ,<br/>bhojanamhi ca mattaññuṃ, saddhaṃ āraddhavīriyaṃ,<br/>taṃ ve nappasahati māro, vāto <b>selaṃ</b>'va pabbataṃ.														sel	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sela 1"">feedback</a>"
sela 2	pp	masc		silā					rock; stone					silā + *a	śilā					DHP 81	paṇḍitavaggo	<b>selo</b> yathā ekaghano, vātena na samīrati, <br/>evaṃ nindāpasaṃsāsu, na samiñjanti paṇḍitā.	AN 6.55	soṇasuttaṃ	seyyathā’pi, bhante, <b>selo</b> pabbato acchiddo asusiro ekagghano. atha puratthimāya ce'pi disāya āgaccheyya bhusā vātavuṭṭhi n'eva naṃ saṅkampeyya na sampakampeyya na sampavedheyya											sel	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sela 2"">feedback</a>"
sehi 1	p	pron	instr pl	sa					by one’s own; with one’s own					sa + ehi	svaiḥ					DHP 136	daṇḍavaggo	atha pāpāni kammāni, karaṃ bālo na bujjhati,<br/><b>sehi</b> kammehi dummedho, aggidaḍḍho'va tappati.														!	sa	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sehi 1"">feedback</a>"
sokapariddava	p	masc	comp						sorrow and crying					soka + pariddava	śoka + parideva					DHP 195	buddhavaggo	pūj'ārahe pūjayato, buddhe yadi va sāvake,<br/>papañca-samatikkante, tiṇṇa-<b>sokapariddave</b>.														sokapariddav	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sokapariddava"">feedback</a>"
socare	p	pr	reflx 3rd pl	socati			intrans		they themselves sorrow; they themselves grieve; they themselves mourn			√suc 1 a (to grieve)	√suc + *a > soca	soca + re	śocante	√śuc				DHP 225	kodhavaggo	ahiṃsakā ye munayo, niccaṃ kāyena saṃvutā,<br/>te yanti accutaṃ ṭhānaṃ, yattha gantvā na <b>socare</b>.														!soc	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=socare"">feedback</a>"
sotāpatti	p	fem	comp						stream entry; first stage of enlightenment					sota + āpatti	srotaāpatti					DHP 178	lokavaggo	pathabyā ekarajjena, saggassa gamanena vā, <br/>sabbalok’ādhipaccena, <b>sot’āpatti</b>-phalaṃ varaṃ.														sotāpatt	i fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sotāpatti"">feedback</a>"
sotthiya	p	masc		suti					learned Brahman; one well versed in sacred knowledge; theologian			√su 4 ṇā (to hear)		√su > so + ti + *iya<br/>suti + *iya	śrotriya	√śru	sottiya			DHP 295	pakiṇṇakavaggo	mātaraṃ pitaraṃ hantvā, rājāno dve ca <b>sotthiye</b>,<br/>veyagghapañcamaṃ hantvā, anīgho yāti brāhmaṇo.														sotthiy	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sotthiya"">feedback</a>"
sotthiṃ	ps	ind	adv, acc sg	sotthi					safely; well; in peace			√as 1 a (to be)		su > so + √as + ti + aṃ	svastim	√as				DHP 219	piyavaggo	cirappavāsiṃ purisaṃ, dūrato <b>sotthim</b>'āgataṃ,<br/>ñātimittā suhajjā ca, abhinandanti āgataṃ.	SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	etādisāni katvāna, sabbattha’m’aparājitā.<br/>sabbattha <b>sotthiṃ</b> gacchanti, taṃ tesaṃ maṅgalam’uttaman”ti. 	Maṅgala-sutta	The Highest Blessings	Protective Recitations							51n	-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sotthiṃ"">feedback</a>"
sodheti 1	p	pr		sujjhati		caus	trans	+acc	cleans; purifies; lit. makes pure			√sudh 3 *e (to be pure)	√sudh + *e > sodhe (caus)	sodhe + ti	śodhayati	√śudh				DHP 141	daṇḍavaggo	na naggacariyā na jaṭā na paṅkā, n'ānāsakā thaṇḍilasāyikā vā,<br/>rajojallaṃ ukkuṭikappadhānaṃ, <b>sodhenti</b> maccaṃ avitiṇṇakaṅkhaṃ.														sodh	eti pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sodheti 1"">feedback</a>"
hatāvakāsa 1	p	adj	comp						lost one’s chance; destroyed the possibility (for rebirth)					hata + avakāsa	hata + avakāśa			(DHPa) kusalākusalakammabījassa khīṇattā nibbattanāvakāso hato assā'ti hatāvakāso		DHP 97	arahantavaggo	assaddho akataññū ca, sandhicchedo ca yo naro,<br/><b>hat'āvakāso</b> vantāso, sa ve uttamaporiso.														hatāvakās	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hatāvakāsa 1"">feedback</a>"
hatthippabhinna	p	adj	comp						elephant in rut; lit. elephant with (secretions) flowing					hatthi + pabhinna	hastin + prabhinna					DHP 326	nāgavaggo	idaṃ pure cittam'acāri cārikaṃ, yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ,<br/>tad'ajj'ahaṃ niggahessāmi yoniso, <b>hatthippabhinnaṃ</b> viya aṅkusaggaho.														hatthippabhinn	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hatthippabhinna"">feedback</a>"
hanati 1	pp	pr					trans	+acc	hits; beat; injures; strikes; stabs; hurt			√han 1 a (to smite, kill)	√han + a > hana	hana + ti	hanati	√han				DHP 130	daṇḍavaggo	sabbe tasanti daṇḍassa, sabbesaṃ jīvitaṃ piyaṃ.<br/>attānaṃ upamaṃ katvā, na <b>haneyya</b> na ghātaye.	SN 35.248	yavakalāpisuttaṃ	“seyyathā’pi yava-kalāpī cātumahāpathe nikkhittā assa. atha cha purisā āgaccheyyuṃ byābhaṅgi-hatthā. te yava-kalāpiṃ chahi byābhaṅgīhi <b>haneyyuṃ</b>.											*	hanati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hanati 1"">feedback</a>"
hantar	p	masc	agent	hanati					striker; killer			√han 1 a (to smite, kill)		√han + tar	hantṛ	√han				DHP 389	brāhmaṇavaggo	na brāhmaṇassa pahareyya, n'āssa muñcetha brāhmaṇo,<br/>dhī brāhmaṇassa <b>hantāraṃ</b>, tato dhī y'assa muñcati.														hant	ar masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hantar"">feedback</a>"
hanti 1	pp	pr					trans	+acc	hits; harms; injures			√han 1 a (to smite, kill)	√han + a > hana	hana + ti	hanti	√han	hanati			DHP 72	bālavaggo	yāva'd'eva anatthāya, ñattaṃ bālassa jāyati,<br/><b>hanti</b> bālassa sukk'aṃsaṃ, muddham'assa vipātayaṃ.	DHP 355	taṇhāvaggo	hananti bhogā dummedhaṃ, no ca pāragavesino,<br/>bhogataṇhāya dummedho, <b>hanti</b> aññe'va attanaṃ.											*	hanati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hanti 1"">feedback</a>"
hāpayati	p	pr		jahati		caus	trans	+acc	neglects; omits; forgets; lit. causes to decrease			√hā 3 *āpaya (to decrease)	√hā + *āpaya > hāpaya	hāpaya + ti	hāpayati	√hā				DHP 166	attavaggo	atta'd'atthaṃ par’atthena, bahunā’pi na <b>hāpaye</b>, <br/>atta'd'attham’abhiññāya, sadattha-pasuto siyā.														hāpay	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hāpayati"">feedback</a>"
hāyati	p	pr					intrans		decreases; dwindles; diminishes; disappears			√hā 3 ya (to decrease)	√hā + ya > hāya	hāya + ti	hāyate	√hā				DHPa 2.1	yamakavaggo	sabbam’p’idaṃ <b>hāyatu</b> ca jīratu ca bhijjatu ca deha-nissitaṃ														hāy	ati pr	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hāyati"">feedback</a>"
hāsa 1	p	masc		hasati					laughter; joking			√has 1 a (to elate, laugh)		√has > hās + *a	hāsa	√hṛṣ √has				DHP 146	jarāvaggo	ko nu <b>hāso</b> kim'ānando, niccaṃ pajjalite sati,<br/>andhakārena onaddhā, padīpaṃ na gavesatha.														hās	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hāsa 1"">feedback</a>"
hita 1	p	adj		dahati					useful; suitable; beneficial			√dhā 1 a (to place, support)		√dhā > (da)h + ita	hita	√dhā				DHP 163	attavaggo	sukarāni asādhūni, attano ahitāni ca, <br/>yaṃ ve<b> hitañ</b>’ca sādhuñ’ca, taṃ ve paramadukkaraṃ.														hit	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hita 1"">feedback</a>"
hiti	p	suffix	fut						one will; it will					[h] + issati > hiti	-iṣyati		issati			DHP 350	taṇhāvaggo	vitakk'ūpasame ca yo rato, asubhaṃ bhāvayate sadā sato,<br/>esa kho byanti kā<b>hiti</b>, esa checchati mārabandhanaṃ.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hiti"">feedback</a>"
hitvā	ps	abs		jahati			trans	+acc	having gave up; having left behind; having abandoned			√hā 1 a (to abandon)		√hā + itvā	hitvā	√hā				DHP 91	arahantavaggo	uyyuñjanti satīmanto, na nikete ramanti te, <br/>haṃsā’va pallalaṃ <b>hitvā</b>, okam’okaṃ jahanti te.	DHP 88	paṇḍitavaggo	tatr’ābhiratim’iccheyya, <b>hitvā</b> kāme akiñcano, <br/>pariyodapeyya attānaṃ, cittaklesehi paṇḍito.	Ti-lakkhaṇā	The Three Characteristics	Verses							10n	-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hitvā"">feedback</a>"
himavant 1	p	masc		hima					Himalayas; lit. having snow					hima + vant	himavat					DHP 304	pakiṇṇakavaggo	dūre santo pakāsenti, <b>himavanto</b>'va pabbato,<br/>asant'ettha na dissanti, rattiṃ khittā yathā sarā.														himav	ant masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=himavant 1"">feedback</a>"
hirīnisedha	pp	adj	comp						prevented by modesty; restrained by conscience; constrained by scruples					hirī + nisedha	hrī + niṣedha			(SNa) hirīnisedho'ti hiriyā akusale dhamme nisedhetī'ti hirīnisedho.		DHP 143	daṇḍavaggo	<b>hirīnisedho</b> puriso, koci lokasmi vijjati,<br/>yo nindaṃ apabodheti, asso bhadro kasām'iva.	SN 1.18	hirīsuttaṃ	<b>hirīnisedhā</b> tanuyā,<br/>ye caranti sadā satā,<br/>antaṃ dukkhassa pappuyya,<br/>caranti visame saman'ti.											hirīnisedh	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hirīnisedha"">feedback</a>"
hisi	p	suffix	fut						you will					[h] + issasi > hisi	-iṣyasi		issasi			DHP 379	bhikkhuvaggo	attanā coday'attānaṃ, paṭimaṃsetha attanā,<br/>so attagutto satimā, sukhaṃ bhikkhu vihā<b>hisi</b>.														-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hisi"">feedback</a>"
hiṃsa	p	adj	in comps	hiṃsā					harming; injuring; hurting			√his 2 ṃa (to hurt, harm)	√his + ṃa > hiṃsa	hiṃsa + ā + a<br/>hiṃsā + a	hiṃsa	√hiṃs				DHP 390	brāhmaṇavaggo	na brāhmaṇass'etad'akiñci seyyo, yadā nisedho manaso piyehi,<br/>yato yato <b>hiṃsa-</b>mano nivattati, tato tato sammati'm'eva dukkhaṃ.														hiṃs	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hiṃsa"">feedback</a>"
hiṃsamana	p	masc	comp						intention to harm; lit. harming mind					hiṃsa + mana	hiṃsā + manas					DHP 390	brāhmaṇavaggo	na brāhmaṇass'etad'akiñci seyyo, yadā nisedho manaso piyehi,<br/>yato yato <b>hiṃsamano</b> nivattati, tato tato sammati'm'eva dukkhaṃ.														hiṃsaman	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hiṃsamana"">feedback</a>"
hiṃsā	pp	fem							harming; hurting			√his 2 ṃa (to hurt, harm)	√his + ṃa > hiṃsa	hiṃsa + ā	hiṃsā	√hiṃs				DHP 390	brāhmaṇavaggo	na brāhmaṇass'etad'akiñci seyyo, yadā nisedho manaso piyehi,<br/>yato yato <b>hiṃsa</b>-mano nivattati, tato tato sammati'm'eva dukkhaṃ.	DHP 270	dhammaṭṭhavaggo	na tena ariyo hoti, yena pāṇāni hiṃsati,<br/>a<b>hiṃsā</b> sabba-pāṇānaṃ, ariyo'ti pavuccati.											hiṃs	ā fem	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hiṃsā"">feedback</a>"
hīnavīriya	pp	adj	comp						low in energy; unenergetic; weak; feeble					hīna + vīriya	hīnavīrya					DHP 7	yamakavaggo	subh'ānupassiṃ viharantaṃ, indriyesu asaṃvutaṃ,<br/>bhojanamhi c'āmattaññuṃ, kusītaṃ <b>hīnavīriyaṃ</b>,<br/>taṃ ve pasahati māro, vāto rukkhaṃ'va dubbalaṃ.	DHP 112	sahassavaggo	yo ca vassasataṃ jīve, kusīto <b>hīnavīriyo</b>,<br/>ek'āhaṃ jīvitaṃ seyyo, vīriyam'ārabhato daḷhaṃ.											hīnavīriy	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hīnavīriya"">feedback</a>"
huta 1	p	nt		juhati					oblation; offering; the thing sacrificed			√hu 1 a (to offer as oblation)		√hu + ta	huta	√hu				DHP 106	sahassavaggo	māse māse sahassena, yo yajetha sataṃ samaṃ,<br/>ekañ'ca bhāvit'attānaṃ, muhuttam'api pūjaye,<br/>sā'y'eva pūjanā seyyo, yañ'ce vassasataṃ <b>hutaṃ</b>.														hut	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=huta 1"">feedback</a>"
hutta	p	nt		juhati					sacrifice; oblation; burnt offering			√hu 1 a (to offer as oblation)		√hu + tta	hotra	√hu				DHP 392	brāhmaṇavaggo	yamhā dhammaṃ vijāneyya, sammāsambuddhadesitaṃ,<br/>sakkaccaṃ taṃ namasseyya, aggi-<b>huttaṃ</b>'va brāhmaṇo.														hutt	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hutta"">feedback</a>"
hurā huraṃ	p	idiom							from here to there; from one place to another											DHP 334	taṇhāvaggo	manujassa pamattacārino, taṇhā vaḍḍhati māluvā viya,<br/>so plavatī <b>hurā</b> <b>huraṃ</b>, phalam'icchaṃ'va vanasmi vānaro.														!	hura hura	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hurā huraṃ"">feedback</a>"
hemanta	ps	masc	comp						winter; cold season; lit. cold end					hima + anta + *a	hemanta					DHP 286	maggavaggo	'idha vassaṃ vasissāmi, idha <b>hem’anta</b>-gimhisu; <br/>iti bālo vicinteti, antarāyaṃ na bujjhati.'	PAT PK	dhammayuttika-pubbakicca	evaṃ utu-ācikkhanaṃ. utūn'īdha pana sāsane <b>hem'anta</b>-gimha-vassānānaṃ vasena tīṇi honti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	hemant	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hemanta"">feedback</a>"
akaraṇa	s	nt	act	na karoti	neg				non-doing; non-action; absence of action			√kar 7 o (to do, make)		na + √kar + aṇa	akaraṇa	√kṛ							DHP 183	buddhavaggo	sabba-pāpassa <b>akaraṇaṃ</b>, kusalassa upasampadā. <br/>sacitta-pariyodapanaṃ, etaṃ buddhāna sāsanaṃ.	Ovāda-pāṭimokkha-gāthā	The Pāṭimokkha Exhortation	Verses							09n	akaraṇ	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akaraṇa"">feedback</a>"
akkodha	pp	masc		na kodha	neg				freedom from anger; absence of anger; meekness; lit. non-anger			√kudh 3 ya (to be angry)		na + √kudh > kodh + *a	akrodha	√krudh				MN 8	sallekhasuttaṃ	vicikicchissa purisapuggalassa tiṇṇavicikicchatā hoti parinibbānāya. kodhanassa purisapuggalassa <b>akkodho</b> hoti parinibbānāya.	DHP 223	kodhavaggo	<b>akkodhena</b> jine kodhaṃ, asādhuṃ sādhunā jine,<br/>jine kadariyaṃ dānena, saccen'ālikavādinaṃ.											akkodh	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akkodha"">feedback</a>"
akkodhana	pp	adj		na kujjhati	neg				without anger; friendly; well disposed			√kudh 3 ya (to be angry)		na + √kudh > kodh + *ana	akrodhana	√krudh				AN 10.51	sacittasuttaṃ	vicikiccho vā tiṇṇa-vicikiccho nu kho bahulaṃ viharāmi? <br/>kodhano vā <b>akkodhano</b> nu kho bahulaṃ viharāmi? <br/>saṃkiliṭṭha-citto vā asaṃkiliṭṭha-citto nu kho bahulaṃ viharāmi?	DHP 400	brāhmaṇavaggo	<b>akkodhanaṃ</b> vatavantaṃ, sīlavantaṃ anussadaṃ,<br/>dantaṃ antimasārīraṃ, tam'ahaṃ brūmi brāhmaṇaṃ.											akkodhan	a adj	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akkodhana"">feedback</a>"
akkosa	pp	masc		akkosati					verbal abuse; insult			√kus 1 a (to call, insult)		ā + √kus > kos + *a	ākrośa	√kruś				MN 82	raṭṭhapālasuttaṃ	atha kho āyasmā raṭṭhapālo sakapitu nivesane n’eva dānaṃ alattha na paccakkhānaṃ, añña'd'atthu <b>akkosam</b>’eva alattha	DHP 399	brāhmaṇavaggo	<b>akkosaṃ</b> vadhabandhañ'ca, aduṭṭho yo titikkhati,<br/>khantībalaṃ bal'ānīkaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.											akkos	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akkosa"">feedback</a>"
akkhāta	ps	pp		akkhāti					announced; told; declared			√khā 1 a (to tell, announce)		ā + √khā + ta	akṣata	√khyā				SN 22.95	pheṇapiṇḍūpamasuttaṃ	etādis’āyaṃ santāno, māy’āyaṃ bālalāpinī, <br/>vadhako esa <b>akkhāto</b>, sāro ettha na vijjati.	DHP 86	paṇḍitavaggo	ye ca kho sammad-<b>akkhāte</b>, dhamme dhamm’ānuvattino, <br/>te janā pāram’essanti, maccudheyyaṃ suduttaraṃ.	Ti-lakkhaṇā	The Three Characteristics	Verses							10n	akkhāt	a pp	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=akkhāta"">feedback</a>"
aciraṃ	s	ind	adv, acc sg	na cira	neg				soon; before long; lit. not long					na + cira + aṃ	aciram								DHP 41	cittavaggo	<b>aciraṃ</b> vat’ayaṃ kāyo, paṭhaviṃ adhisessati.<br/>chuddho apeta-viññāṇo, niratthaṃ’va kaliṅgaraṃ. 	Anicc’ānussati	Recollection of Impermanence	Reflections							36n	-		27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=aciraṃ"">feedback</a>"
accagā	pp	imperf		atigacchati			trans	+acc	had overcome; had surpassed; had got past			√gam 1 a (to go)		ati + a + √gam + ā	ati + agacchat	√gam				AN 6.61	majjhesuttaṃ	“yo ubho’nte viditvāna, majjhe mantā na lippati. taṃ brūmi mahāpuriso’ti, so’dha sibbinim’<b>accagā</b>”ti.	DHP 414	brāhmaṇavaggo	yo'maṃ palipathaṃ duggaṃ, saṃsāraṃ moham'<b>accagā</b>,<br/>tiṇṇo pāragato jhāyī, anejo akathaṃkathī,<br/>anupādāya nibbuto, tam'ahaṃ brūmi brāhmaṇaṃ.											!accag	ā imperf	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=accagā"">feedback</a>"
añña … añña	pp	idiom	adj + adj						one thing … another											SN 12.61	assutavāsuttaṃ	vuccati cittaṃ iti’pi, mano iti’pi, viññāṇaṃ iti’pi, taṃ rattiyā ca divasassa ca <b>añña</b>deva uppajjati <b>aññaṃ</b> nirujjhati.	DHP 75	bālavaggo	<b>aññā</b> hi lābh'ūpanisā, <b>aññā</b> nibbānagāminī,<br/>evam'etaṃ abhiññāya, bhikkhu buddhassa sāvako,<br/>sakkāraṃ n'ābhinandeyya, vivekam'anubrūhaye.											!	añña	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=añña … añña"">feedback</a>"
atikkama	s	masc		atikkamati				+gen	surpassing; transcending; going beyond; overcoming; lit. going past (of)			√kam 1 a (to go)		ati + √kam + a	atikrama	√kram							DHP 191	buddhavaggo	dukkhaṃ dukkhasamuppādaṃ, dukkhassa ca <b>atikkamaṃ</b>, ariyañ’c’aṭṭh’aṅgikaṃ maggaṃ, dukkh’ūpasama-gāminaṃ.	Khem’ākhema-saraṇa-gamana	Going to True and False Refuges	Verses							08n	atikkam	a masc	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atikkama"">feedback</a>"
atta 2	pp	nt	act, pp	ādadāti					taking up; accepting; seizing; grasping			√ādā 3 ya (to take)		ā + √ādā > d + ta	ātta	ā√dā		(NIDD1) attā'ti att’ānudiṭṭhi n'atthi ... attā'ti gahitaṃ n’atthi.		SNP 41	duṭṭhaṭṭhakasuttaṃ<br/>aṭṭhakavaggo 3	upayo hi dhammesu upeti vādaṃ, anūpayaṃ kena kathaṃ vadeyya,<br/><b>attaṃ</b> nirattaṃ na hi tassa atthi, adhosi so diṭṭhim'idh'eva sabbanti.	DHP 406	brāhmaṇavaggo	aviruddhaṃ viruddhesu, <b>atta-</b>daṇḍesu nibbutaṃ,<br/>sādānesu anādānaṃ, tam'ahaṃ brūmi brāhmaṇaṃ.											att	a nt	27	"<a href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atta 2"">feedback</a>"
