Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Test	audio	Feedback	ID	Tags
okāsaṃ karoti	pr	comp vb					+dat	grants permission (to); gives an opportunity (to); gives consent (to); lit. makes space (for)					okāsaṃ + karoti	avakāśa + karoti					SN 35.87	channasuttaṃ	puccheyyāma mayaṃ āyasmantaṃ channaṃ kañci'd'eva desaṃ, sace āyasmā channo <b>okāsaṃ</b> <b>karoti</b> pañhassa veyyākaraṇāyā'ti. pucch'āvuso sāriputta, sutvā vedissāmā'ti.				PAT PK	dhammayuttika-pubbakicca	<b>karomi</b> āyasmato <b>okāsaṃ</b>	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=okāsaṃ karoti&entry.1433863141=Anki"">Fix it here</a>."	38717	 Pubbakicca 
niṭṭhita 1	pp		niṭṭhāti					finished; completed; accomplished			√ṭhā 1 a (to stand)		ni + √ṭhā + ita	niṣṭhita	√sthā				VIN PAT AS	adhikaraṇasamathā	vitthār'uddeso pañcamo. bhikkhu-pātimokkhaṃ <b>niṭṭhitaṃ</b>.				VIN PAT NP 1	kathina sikkhāpada	<b>niṭṭhita</b>-cīvarasmiṃ bhikkhunā ubbhatasmiṃ kaṭhine das’āha-paramaṃ atireka-cīvaraṃ dhāretabbaṃ.				PAT PK	dhammayuttika-pubbakicca	<b>niṭṭhite</b> ca pubbakicce: sace so divaso cātuddasī-paṇṇarasī-sāmaggīnam'aññataro, yath'ājja uposatho paṇṇaraso.	Pubbakicca	Preliminary duty	International Pātimokkha	80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=niṭṭhita 1&entry.1433863141=Anki"">Fix it here</a>."	38062	  Pubbakicca
pānīyaparibhojanīyūpaṭṭhapana	nt	act, comp						preparing drinking water and water for washing; arranging drinking and rinsing water					pānīya + paribhojanīya + upaṭṭhapana	pānīya + paribhojanīya + upasthā											PAT PK	dhammayuttika-pubbakicca	<b>pānīyaparibhojanīy'ūpaṭṭhapanañ</b>'ca; chand'ārahānaṃ bhikkhūnaṃ chand'āharaṇañ'ca; tesaññ'eva akat'uposathānaṃ pārisuddhiyā'pi āharaṇañ'ca	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pānīyaparibhojanīyūpaṭṭhapana&entry.1433863141=Anki"">Fix it here</a>."	71058	 Pubbakicca 
pānīyaparibhojanīya	nt	comp						drinking water and water for washing; drinking and rinsing water					pānīya + paribhojanīya	pānīya + paribhojanīya											PAT PK	dhammayuttika-pubbakicca	<b>pānīyaparibhojanīya-</b>upaṭṭhapanañ'ca; chand'ārahānaṃ bhikkhūnaṃ chand'āharaṇañ'ca; tesaññ'eva akat'uposathānaṃ pārisuddhiyā'pi āharaṇañ'ca	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pānīyaparibhojanīya&entry.1433863141=Anki"">Fix it here</a>."	71057	 Pubbakicca 
taṇṭhāna	nt	comp						that place					taṃ + ṭhāna	tam + sthāna											PAT PK	dhammayuttika-pubbakicca	<b>taṇ'ṭhāna</b>-sammajjanañ'ca; tattha padīp'ujjalanañ'ca; āsana-paññapanañ'ca	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=taṇṭhāna&entry.1433863141=Anki"">Fix it here</a>."	71102	 Pubbakicca 
taṇṭhānasammajjana	nt	comp						sweeping of that place					taṃ + ṭhāna + sammajjana	tam + sthāna + sammārjana											PAT PK	dhammayuttika-pubbakicca	<b>taṇ'ṭhānasammajjanañ</b>'ca; tattha padīp'ujjalanañ'ca; āsana-paññapanañ'ca	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=taṇṭhānasammajjana&entry.1433863141=Anki"">Fix it here</a>."	71103	 Pubbakicca 
tesañca	sandhi	pron + ind						and of them; and of those; and their					tesaṃ + ca	tānām + ca					SN 35.94	adantāguttasuttaṃ	saḷ'eva phass'āyatanāni bhikkhavo,<br/>asaṃvuto yattha dukkhaṃ nigacchati,<br/><b>tesañ'ca</b> ye saṃvaraṇaṃ avedisuṃ,<br/>saddhādutiyā viharant'ānavassutā.				PAT PK	dhammayuttika-pubbakicca	<b>tesañ'ca</b> vikālabhojan'ādi-vasena vatthu-sabhāg'āpattiyo ce na vijjanti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tesañca&entry.1433863141=Anki"">Fix it here</a>."	59620	 Pubbakicca 
uposathakaraṇa	nt	act, comp						performance of the observance day ceremony; doing the uposatha					uposatha + karaṇa	upavasatha + karaṇa											PAT PK	dhammayuttika-pubbakicca	<b>uposathakaraṇato</b> pubbe navavidhaṃ pubbakiccaṃ kātabbaṃ hoti	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uposathakaraṇa&entry.1433863141=Anki"">Fix it here</a>."	71114	 Pubbakicca 
utu 3	masc							season; time of year						ṛtu					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	chanda-parisuddhi, <b>utu</b>-akkhānaṃ, bhikkhu-gaṇanā ca, ovādo - uposathassa etāni pubbakiccan'ti vuccati.				PAT PK	dhammayuttika-pubbakicca	<b>utu</b>-akkhānañ'ca; bhikkhugaṇanā'ca; bhikkhunīnam'ovādo cā'ti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=utu 3&entry.1433863141=Anki"">Fix it here</a>."	64100	 Pubbakicca 
utukkhāna	nt	comp						announcing the season; telling the season					utu + akkhāna	ṛtu + ākhyāna					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	chanda-parisuddhi, <b>utu’kkhānaṃ</b>, bhikkhu-gaṇanā ca, ovādo - uposathassa etāni pubbakiccan'ti vuccati.				PAT PK	dhammayuttika-pubbakicca	<b>utukkhānañ</b>'ca; bhikkhugaṇanā'ca; bhikkhunīnam'ovādo cā'ti.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=utukkhāna&entry.1433863141=Anki"">Fix it here</a>."	64108	 Pubbakicca 
yāvatika	adj		yāvatā					however many; as many as					yāva + tā + ika	yāvantikā					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	uposatho, <b>yāvatikā</b> ca bhikkhū kammappattā, sabhāg’āpattiyo ca na vijjanti, vajjanīyā ca puggalā tasmiṃ na honti - pattakallan'ti vuccati. 				PAT PK	dhammayuttika-pubbakicca	<b>yāvatikā</b> ca bhikkhū kammappattā saṅgh'uposath'ārahā cattāro vā tato vā atirekā pakatattā pārājikaṃ anāpannā saṅghena vā anukkhittā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=yāvatika&entry.1433863141=Anki"">Fix it here</a>."	69941	 Pubbakicca 
gimhotu	masc	comp						hot time the of year; summer season					gimha + utu												PAT PK	dhammayuttika-pubbakicca	ayaṃ <b>gimho'tu</b>, asmiñ'ca utumhi aṭṭha uposathā, iminā pakkhena: eko uposatho sampatto, eko uposathā atikkantā,  cha uposathā avasiṭṭhā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=gimhotu&entry.1433863141=Anki"">Fix it here</a>."	71007	 Pubbakicca 
hemantotu	masc	comp						cold time the of year; winter season					hemanta + utu												PAT PK	dhammayuttika-pubbakicca	ayaṃ <b>hem'anto'tu</b>, asmiñ'ca utumhi aṭṭha uposathā, iminā pakkhena: eko uposatho sampatto, eko uposathā atikkantā,  cha uposathā avasiṭṭhā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hemantotu&entry.1433863141=Anki"">Fix it here</a>."	71012	 Pubbakicca 
vassānotu	masc	comp						rainy time the of year; rainy season					vassāno + utu												PAT PK	dhammayuttika-pubbakicca	ayaṃ <b>vassāno'tu</b>, asmiñ'ca utumhi aṭṭha uposathā, iminā pakkhena: eko uposatho sampatto, eko uposathā atikkantā,  cha uposathā avasiṭṭhā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vassānotu&entry.1433863141=Anki"">Fix it here</a>."	71123	 Pubbakicca 
uposatha 1	masc		upavasa					full moon or new moon observance day			√vas 1 a (to live)		upa + √vas + a + tha<br/>upavasa > uposa + tha	upavasatha	√vas				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	sammajjanī, padīpo ca, udakaṃ āsanena ca, <b>uposathassa</b> etāni, pubbakaraṇan’ti vuccati.				PAT PK	dhammayuttika-pubbakicca	ayaṃ hem'anto'tu, asmiñ'ca utumhi aṭṭha <b>uposathā</b>, iminā pakkhena: eko <b>uposatho</b> sampatto, satta <b>uposathā</b> atikkantā, aṭṭha <b>uposathā</b> paripuṇṇā.	Pubbakicca	Preliminary duty	International Pātimokkha	VIN PAT NID	nidānuddeso	yadi saṅghassa pattakallaṃ saṅgho <b>uposathaṃ</b> kareyya, pātimokkhaṃ uddiseyya				80n	55	[sound:uposatha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uposatha 1&entry.1433863141=Anki"">Fix it here</a>."	63439	 Pubbakicca 
asmiñca	sandhi	pron + ind						and in this					asmiṃ + ca												PAT PK	dhammayuttika-pubbakicca	ayaṃ vassāno'tu, <b>asmiñ'ca</b> utumhi aṭṭha uposathā, iminā pakkhena: eko uposatho sampatto, eko uposathā atikkantā,  cha uposathā avasiṭṭhā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=asmiñca&entry.1433863141=Anki"">Fix it here</a>."	70959	 Pubbakicca 
uposathagga	nt	comp						uposatha hall					uposathagga + agga	upavasatha + agāra					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	bhikkhu-gaṇanā ca: imasmiṃ <b>uposath’agge</b> sannipatitānaṃ bhikkhūnaṃ gaṇanā kittakā bhikkhū honti?				PAT PK	dhammayuttika-pubbakicca	bhikkhugaṇanā nāma imasmiṃ <b>uposath'agge</b> uposath'atthāya sannipatitā bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uposathagga&entry.1433863141=Anki"">Fix it here</a>."	63449	 Pubbakicca 
uposathatthāya	ind	adv, comp						to (recite) the uposatha; for the observance day; lit. for the sake of uposatha 					uposatha + attha + āya												PAT PK	dhammayuttika-pubbakicca	bhikkhugaṇanā nāma imasmiṃ uposath'agge <b>uposath'atthāya</b> sannipatitā bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=uposathatthāya&entry.1433863141=Anki"">Fix it here</a>."	71115	 Pubbakicca 
atthāya 1	masc	dat sg	attha				+gen	for the purpose (of); for the sake (of); for the benefit (of)			√ar 1 a (to move, attain)		attha + āya	arthatas	√ṛ				SN 47.10	bhikkhunupassayasuttaṃ	“yassa khv’āhaṃ <b>atthāya</b> cittaṃ paṇidahiṃ so me attho abhinipphanno. handa dāni paṭisaṃharāmi”				PAT PK	dhammayuttika-pubbakicca	bhikkhugaṇanā nāma imasmiṃ uposath'agge uposath'<b>atthāya</b> sannipatitā bhikkhū ettakā'ti, bhikkhūnaṃ gaṇanā.	Pubbakicca	Preliminary duty	International Pātimokkha	SN 47.10	bhikkhunupassayasuttaṃ	yassa khv'āhaṃ <b>atthāya</b> cittaṃ paṇidahiṃ so me attho abhinipphanno.				80n	55	[sound:atthāya.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=atthāya 1&entry.1433863141=Anki"">Fix it here</a>."	11741	 Pubbakicca 
samīpa	adj							(in space or time) near; close; proximate to						samīpa				saṃ + √ap?							PAT PK	dhammayuttika-pubbakicca	bhikkhunīnam'ovādo pana <b>samīpe</b> tāsaṃ n'atthitāya n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=samīpa&entry.1433863141=Anki"">Fix it here</a>."	51665	 Pubbakicca 
samīpe	ind	prep, loc sg	samīpa				+gen	near (to); nearby; close (to); lit. near (of)					samīpa + e	samīpe											PAT PK	dhammayuttika-pubbakicca	bhikkhunīnam'ovādo pana <b>samīpe</b> tāsaṃ n'atthitāya n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=samīpe&entry.1433863141=Anki"">Fix it here</a>."	51671	 Pubbakicca 
tāsaṃ 2	pron	fem gen pl	ta					of those; of them; their					ta + āsānaṃ > ās(ān)aṃ > āsaṃ	tānām					MN 43	mahāvedallasuttaṃ	yāvatā kho, āvuso, appamāṇā cetovimuttiyo, akuppā <b>tāsaṃ</b> cetovimutti aggam'akkhāyati. sā kho pan'ākuppā cetovimutti suññā rāgena, suññā dosena, suññā mohena.				PAT PK	dhammayuttika-pubbakicca	bhikkhunīnam'ovādo pana samīpe <b>tāsaṃ</b> n'atthitāya n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=tāsaṃ 2&entry.1433863141=Anki"">Fix it here</a>."	58983	 Pubbakicca 
natthitā	fem	abstr	na atthi	neg				non-existence; idea of non-existence; absence; lit. there is not state			√as 1 a (to be)		na + √as + ti + tā<br/>natthi + tā	nāstitā	√as				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	idāni pana tāsaṃ <b>natthitāya</b>, so ca ovādo idha n’atthi.				PAT PK	dhammayuttika-pubbakicca	bhikkhunīnam'ovādo pana samīpe tāsaṃ <b>n'atthitāya</b> n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha	SN 12.15	kaccānagottasuttaṃ	dvayanissito khv'āyaṃ, kaccāna, loko yebhuyyena, atthitañ'c'eva <b>natthitañ</b>'ca.				80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=natthitā&entry.1433863141=Anki"">Fix it here</a>."	35958	 Pubbakicca 
pārisuddhiāharaṇa	nt	act, comp						bringing purity; convey purification					pārisuddhi + āharaṇa												PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-<b>pārisuddhiāharaṇāni</b>, pana imissaṃ sīmāyaṃ hatthapāsaṃ vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pārisuddhiāharaṇa&entry.1433863141=Anki"">Fix it here</a>."	71062	 Pubbakicca 
imissaṃ	pron	fem loc sg	ima					in this					ima + issaṃ												PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana <b>imissaṃ</b> sīmāyaṃ hatthapāsaṃ vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=imissaṃ&entry.1433863141=Anki"">Fix it here</a>."	71018	 Pubbakicca 
sīmā 2	fem							(vinaya) boundary in which legal procedures are performed; legal territory						sīmā					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	sabb’antimena paricchedena cattāro bhikkhū pakatattā, saṅghena anukkhittā, te ca kho hatthapāsaṃ avijahitvā eka-<b>sīmayaṃ</b> ṭhitā.				PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana imissaṃ <b>sīmāyaṃ</b> hatthapāsaṃ vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:sīmā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=sīmā 2&entry.1433863141=Anki"">Fix it here</a>."	56109	 Pubbakicca 
hatthapāsa	masc	comp					+gen	hand's reach; arm's length; lit. hand throw					hattha + pāsa	hasta + prāsa					VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	yattakā bhikkhū tassa uposathakammassa patta-yuttā anurūpā, sabb’antimena paricchedena cattāro bhikkhū pakatattā, saṅghena anukkhittā, te ca kho <b>hatthapāsaṃ</b> avijahitvā ekasīmayaṃ ṭhitā.				PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana imissaṃ sīmāyaṃ <b>hatthapāsaṃ</b> vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=hatthapāsa&entry.1433863141=Anki"">Fix it here</a>."	24103	 Pubbakicca 
pāsa 1	masc		pāssati					throw; reach			√as 3 ya (to throw, hurl)		pa + √as + a	prāsa	√as				VIN PAT PK	saṅghuposatha pubbakaraṇādi vidhi	yattakā bhikkhū tassa uposathakammassa patta-yuttā anurūpā, sabb’antimena paricchedena cattāro bhikkhū pakatattā, saṅghena anukkhittā, te ca kho hattha-<b>pāsaṃ</b> avijahitvā ekasīmayaṃ ṭhitā.				PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana imissaṃ sīmāyaṃ hattha-<b>pāsaṃ</b> vijahitvā nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=pāsa 1&entry.1433863141=Anki"">Fix it here</a>."	43744	 Pubbakicca 
vijahitvā	abs		vijahati			trans	+acc	having left; having abandoned; having given up			√hā 1 a (to abandon)	√hā + hā + a > jaha	vi + jaha + itvā	vijahitvā	√hā				VIN 2.5.5.3	sabhojanasikkhāpadaṃ	nisajjaṃ kappeyyā'ti mahallake ghare piṭṭhasaṅghāṭassa hatthapāsaṃ <b>vijahitvā</b> nisīdati, āpatti pācittiyassa. khuddake ghare piṭṭhivaṃsaṃ atikkamitvā nisīdati, āpatti pācittiyassa.				PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana imissaṃ sīmāyaṃ hatthapāsaṃ <b>vijahitvā</b> nisinnānaṃ bhikkhūnaṃ abhāvato n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=vijahitvā&entry.1433863141=Anki"">Fix it here</a>."	66720	 Pubbakicca 
abhāva 1	masc	abstr	bhavati	neg			+gen	absence (of); lack (of); not-doing (of); non-existence (of)			√bhū 1 a (to be)		na > a + √bhū > bhāv + *a	abhāva	√bhū				VISM 1.9.2	karuṇā bhāvanā kathā	ayaṃ varāko kiñcā'pi idāni sukhito susajjito bhoge paribhuñjati, atha kho tīsu dvāresu ekenā'pi katassa kalyāṇakammassa <b>abhāvā</b> idāni apāyesu anappakaṃ dukkhaṃ domanassaṃ paṭisaṃvedissatī'ti.				PAT PK	dhammayuttika-pubbakicca	chand'āharaṇa-pārisuddhiāharaṇāni, pana imissaṃ sīmāyaṃ hatthapāsaṃ vijahitvā nisinnānaṃ bhikkhūnaṃ <b>abhāvato</b> n'atthi.	Pubbakicca	Preliminary duty	International Pātimokkha							80n	55	[sound:coming-soon.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=abhāva 1&entry.1433863141=Anki"">Fix it here</a>."	285	 Pubbakicca 
